shape,frequency,order,type,instance,CGPT_entries
flower5,100.00,1,theoretical,rand1,"0.613341 +0.0341281i 3.47659e-17 +3.82306e-17i 4.74404e-16 +3.50278e-15i      0.613341 +0.0341281i"
flower5,150.00,1,theoretical,rand1,"0.617261 +0.0233075i -4.01718e-17 -1.94105e-16i   6.16577e-16 +6.5022e-15i       0.617261 +0.0233075i"
flower5,200.00,1,theoretical,rand1,"0.618679 +0.0176314i 1.08594e-16 -1.76742e-16i 5.90334e-16 +8.44962e-15i      0.618679 +0.0176314i"
flower5,100.00,1,reconstructed,rand1,"0.546218 +0.0291156i 0.0368548 -0.000477036i    -0.12801 -0.0070922i    0.557861 +0.0318799i"
flower5,150.00,1,reconstructed,rand1,"0.596392 +0.0239194i   -0.111815 -0.00318999i 0.00452545 +0.000589387i     0.550267 +0.0190323i"
flower5,200.00,1,reconstructed,rand1,"0.46799 +0.0139147i -0.0854125 -0.00312027i  -0.0460415 -0.0019467i    0.594714 +0.0157592i"
flower5,100.00,1,theoretical,rand2,"1.01205 +0.0563136i  4.74155e-16 +3.4282e-15i 1.23403e-16 +5.00281e-16i       1.01205 +0.0563136i"
flower5,150.00,1,theoretical,rand2,"1.01852 +0.0384589i -1.67887e-16 +1.26956e-15i  -3.4612e-17 +5.94095e-16i        1.01852 +0.0384589i"
flower5,200.00,1,theoretical,rand2,"1.02086 +0.029093i 4.33446e-16 +3.11734e-15i 4.98392e-17 +8.25457e-16i        1.02086 +0.029093i"
flower5,100.00,1,reconstructed,rand2,"0.869519 +0.0484708i  0.0199133 +0.000750516i -0.00915557 -0.00225533i     0.829734 +0.0439317i"
flower5,150.00,1,reconstructed,rand2,"0.866352 +0.0332843i 0.0265975 +0.00123063i 0.0127609 +0.00043475i   0.868428 +0.0329521i"
flower5,200.00,1,reconstructed,rand2,"0.863611 +0.0248742i -0.0435642 -0.000910531i   0.0109752 -0.00161532i       0.8487 +0.0241733i"
flower5,100.00,1,theoretical,rand1,"3.31779 +0.184612i 6.47157e-16 -1.77164e-15i 8.81396e-16 +6.43223e-16i        3.31779 +0.184612i"
flower5,150.00,1,theoretical,rand1,"3.339 +0.126079i -3.30703e-17 -4.2666e-15i  4.47971e-16 +1.1725e-15i          3.339 +0.126079i"
